s_start,s_lat,s_lon,s_country,e_end,e_lat,e_lon,e_country
OCI Malaysia,3.544446,113.305171,Malaysia,Cape Town,-33.968293,18.576651,South Africa
OCI Malaysia,3.544446,113.305171,Malaysia,TEMASOL,33.998192,-6.846631,Morocco
OCI Malaysia,3.544446,113.305171,Malaysia,Modco,14.27815,121.065836,Philipines
OCI Malaysia,3.544446,113.305171,Malaysia,Mexicali,32.622782,-115.532608,Mexico
OCI Malaysia,3.544446,113.305171,Malaysia,Malaysia,2.34049,102.21123,Malaysia
Solar Star,34.929592,-118.333979,United States of America,France,45.816077,4.726069,France
Solar Star,34.929592,-118.333979,United States of America,Fab 4,14.27618,121.135141,Philipines
Solar Star,34.929592,-118.333979,United States of America,Fab 2,14.137501,121.135141,Philipines
Solar Star,34.929592,-118.333979,United States of America,Brighton,-37.905482,144.999517,Australia
Solar Star,34.929592,-118.333979,United States of America,Richmond,37.910501,-122.358354,United States of America
Solar Star,34.929592,-118.333979,United States of America,San Jose,37.404787,-121.946716,United States of America
Solar Star,34.929592,-118.333979,United States of America,Cape Town,-33.968293,18.576651,South Africa
Solar Star,34.929592,-118.333979,United States of America,TEMASOL,33.998192,-6.846631,Morocco
Solar Star,34.929592,-118.333979,United States of America,Modco,14.27815,121.065836,Philipines
Solar Star,34.929592,-118.333979,United States of America,Mexicali,32.622782,-115.532608,Mexico
Solar Star,34.929592,-118.333979,United States of America,Malaysia,2.34049,102.21123,Malaysia
